id,name,type,category,expected
1,UnauthorizedTokenTransfer,vulnerable,basic-missing-sender,detect
2,MissingAllowanceTransferFrom,vulnerable,missing-allowance,detect
3,WrongAllowanceOwner,vulnerable,wrong-allowance-owner,detect
4,OnlyToCheckedTransfer,vulnerable,naming-variant,detect
5,PublicBurnFrom,vulnerable,public-burnfrom,detect
6,UncheckedOperatorTransfer,vulnerable,missing-operator-auth,detect
7,BatchTransferFromMissingAuth,vulnerable,batch-missing-auth,detect
8,ApproveAndCallWrongSpender,vulnerable,wrong-spender,detect
9,InternalMoveExposed,vulnerable,exposed-internal-move,detect
10,RoleBypassTransfer,vulnerable,role-bypass,detect
11,PermitNonceMissingTransfer,vulnerable,permit-nonce-missing,detect
12,DelegatedTransferMissingAuth,vulnerable,delegate-missing-auth,detect
13,VaultWithdrawFromMissingAuth,vulnerable,vault-withdrawfrom,detect
14,NFTTransferFromMissingApproval,vulnerable,nft-missing-approval,detect
15,ERC1155TransferMissingOperator,vulnerable,erc1155-missing-operator,detect
16,SafeTransferFromWithAllowance,safe,correct-allowance,no_detect
17,SafeBurnFromWithAllowance,safe,correct-burn-allowance,no_detect
18,SafeBatchTransferFrom,safe,correct-batch-allowance,no_detect
19,SafeInternalMove,safe,internal-only,no_detect
20,SafeRoleCheckedTransfer,safe,correct-role-and-owner,no_detect
