round,sample,type,raw_report_detected,postchecked_report_detected,compile_ok,attack_ok,repair_ok,raw_safe_fp,postchecked_safe_fp,artifact_dir,evaluation_md
1,UnauthorizedTokenTransfer,vulnerable,1,1,1,1,1,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/UnauthorizedTokenTransfer_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/UnauthorizedTokenTransfer_evaluation.md
1,MissingAllowanceTransferFrom,vulnerable,0,0,1,1,1,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/MissingAllowanceTransferFrom_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/MissingAllowanceTransferFrom_evaluation.md
1,WrongAllowanceOwner,vulnerable,1,1,1,1,1,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/WrongAllowanceOwner_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/WrongAllowanceOwner_evaluation.md
1,OnlyToCheckedTransfer,vulnerable,1,1,1,1,1,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OnlyToCheckedTransfer_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OnlyToCheckedTransfer_evaluation.md
1,PublicBurnFrom,vulnerable,1,1,1,1,1,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/PublicBurnFrom_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/PublicBurnFrom_evaluation.md
1,UncheckedOperatorTransfer,vulnerable,1,1,1,1,1,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/UncheckedOperatorTransfer_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/UncheckedOperatorTransfer_evaluation.md
1,BatchTransferFromMissingAuth,vulnerable,1,1,1,1,1,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/BatchTransferFromMissingAuth_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/BatchTransferFromMissingAuth_evaluation.md
1,ApproveAndCallWrongSpender,vulnerable,1,1,1,1,1,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/ApproveAndCallWrongSpender_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/ApproveAndCallWrongSpender_evaluation.md
1,InternalMoveExposed,vulnerable,0,0,1,1,1,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/InternalMoveExposed_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/InternalMoveExposed_evaluation.md
1,RoleBypassTransfer,vulnerable,1,1,1,1,1,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/RoleBypassTransfer_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/RoleBypassTransfer_evaluation.md
1,PermitNonceMissingTransfer,vulnerable,1,1,0,0,0,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/PermitNonceMissingTransfer_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/PermitNonceMissingTransfer_evaluation.md
1,DelegatedTransferMissingAuth,vulnerable,1,1,1,1,1,,,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/DelegatedTransferMissingAuth_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/DelegatedTransferMissingAuth_evaluation.md
